account,URL,type,field
AndaluciaJunta,http://twitter.com/AndaluciaJunta,2,A
GVAeducacio,http://twitter.com/GVAeducacio,2,A
GobAragon,http://twitter.com/GobAragon,2,A
regiondemurcia,http://twitter.com/regiondemurcia,2,A
EmpleoJunta,http://twitter.com/EmpleoJunta,2,A
EducacionCan,http://twitter.com/EducacionCan,2,A
fpdualaragon,http://twitter.com/fpdualaragon,2,A
fp_aragon,http://twitter.com/fp_aragon,2,A
JuntaInforma,http://twitter.com/JuntaInforma,2,A
Gob_eus,http://twitter.com/Gob_eus,2,A
educaciocat,http://twitter.com/educaciocat,2,A
govern,http://twitter.com/govern,2,A
educacionenmlg,http://twitter.com/educacionenmlg,2,A
JuntaGranada,http://twitter.com/JuntaGranada,2,A
fplarioja,http://twitter.com/fplarioja,2,A
GVAlabora,http://twitter.com/GVAlabora,2,A
Seviempleo,http://twitter.com/Seviempleo,2,A
cantabriaes,http://twitter.com/cantabriaes,2,A
gencat,http://twitter.com/gencat,2,A
consorciedubcn,http://twitter.com/consorciedubcn,2,A
generalitat,http://twitter.com/generalitat,2,A
Educastur,http://twitter.com/Educastur,2,A
Junta_Ex,http://twitter.com/Junta_Ex,2,A
PresiCan,http://twitter.com/PresiCan,2,A
diputacionMLG,http://twitter.com/diputacionMLG,2,A
Junta_Educacion,http://twitter.com/Junta_Educacion,2,A
JuntaSevilla,http://twitter.com/JuntaSevilla,2,A
JuntaCordoba,http://twitter.com/JuntaCordoba,2,A
FGC,http://twitter.com/FGC,2,A
TurismoGobCan,http://twitter.com/TurismoGobCan,2,A
PortalJunta,http://twitter.com/PortalJunta,2,A
DIPUSEVI,http://twitter.com/DIPUSEVI,2,A
jarevalo_FP,http://twitter.com/jarevalo_FP,1,A
Guadalupbragado,http://twitter.com/Guadalupbragado,1,A
mjosecatala,http://twitter.com/mjosecatala,1,A
igonzalezPP,http://twitter.com/igonzalezPP,1,A
luciafigar,http://twitter.com/luciafigar,1,A
LuisSaratxaga,http://twitter.com/LuisSaratxaga,1,A
susanadiaz,http://twitter.com/susanadiaz,1,A
