author;mentioned;tweet_id
122355023;797910888;266839699707006976
122355023;395382718;266839453249720320
122355023;797910888;266839453249720320
122355023;395382718;266839204242276353
122355023;797910888;266839204242276353
539315855;585941934;266839145123565568
122355023;797910888;266838451893190656
308054885;358280685;266838148410142720
308054885;198451168;266838148410142720
592102872;62030243;266836892618727424
308054885;198451168;266835945196773376
198451168;308054885;266835121380937728
122355023;797910888;266834844896595968
384270812;108278500;266834155948625920
384270812;303178569;266834155948625920
122355023;797910888;266833574714564608
122355023;797910888;266833364340862976
25478140;358280685;266832086151868416
388155871;27038703;266831737403867136
420246736;92002486;266830363203092480
726267446;166507237;266828585027899392
358280685;424458814;266827090547064832
358280685;22914352;266827090547064832
198451168;424458814;266826511338844160
198451168;22914352;266826511338844160
222769995;2188292928;266825448388980736
424458814;22914352;266824893704843264
198451168;15339967;266824625365872641
576230421;403281555;266822004487897088
563119379;14436030;266821685473341440
85285279;271567977;266821469428912128
408391296;140550105;266820818443587584
393886714;22914352;266819179494121472
70214437;27038703;266814998301511680
323327079;71597320;266813928003215360
119301722;23061724;266813375525306368
906923892;166507237;266812979293589505
268715648;207017741;266807129556545536
717765272;14942445;266802170593165312
46371624;8204452;266794619621232640
191929879;382300046;266792712810926080
46371624;18717943;266786742986764288
46371624;18717943;266786064985886720
183556418;166507237;266785610457546752
383975260;14436030;266775755206324224
129154949;Unknown-79;266699214120157184
275053461;823905;266695615013076994
269530021;374460589;266693485330063360
159617048;43910684;266681105078431744
917967385;917967385;266680643960860672
767656027;8204452;266678255606693888
231761216;107152426;266677966593990658
231761216;43910684;266677966593990658
767656027;Unknown-80;266677892732301312
767656027;14436030;266677016194060289
393886714;2748987977;266674918807179264
107152426;337079693;266673815516495873
107152426;93221940;266673815516495873
107152426;43910684;266673815516495873
337079693;93221940;266672960729915392
337079693;43910684;266672960729915392
107152426;2748987977;266672116089364485
619257990;43910684;266667158166204417
534857422;114686690;266666756511252480
534857422;114686690;266662260225748992
302746487;14942445;266658298709827585
534857422;23074502;266657488433205249
400261823;43910684;266657308065538048
534857422;395896446;266657217615364096
91612785;67039054;266656714902892544
393886714;43910684;266653692223172608
327320777;14304620;266652927731568640
450184730;43910684;266648218916511744
93221940;43910684;266647618598363136
Unknown-2;256091861;266647087276511232
239245102;49464241;266645028787589121
270932574;14942445;266641929343754240
277228155;14824411;266636753392267264
267224485;256091861;266634327989821440
226139840;14436030;266633898564407297
253279436;14942445;266629319672086528
570236418;14942445;266628035296509952
225914151;1100424245132300288;266627795709472768
183556418;184054099;266625112957128704
610168401;2748987977;266623220373938177
288856373;63107074;266621493771915265
300484093;823905;266619737658773504
358813739;296912924;266619713071767552
358813739;11904592;266619713071767552
138690086;23074502;266618491715600384
47980580;14436030;266618105105625088
15095943;188300159;266617948557422592
269530021;43910684;266614268068249600
69271507;135997593;266606890228797441
14359101;44898619;266604015419265024
16032358;14824411;266603617237209088
46371624;166507237;266600068822487041
268254375;2748987977;266599999993954304
457547115;44898619;266598811865075713
433302442;19923515;266591905436020736
52118126;67039054;266591222427160576
281742223;166507237;266591213124190209
236377244;14304620;266591098678423552
247247355;28076939;266590484321951744
218778753;2982229648;266588417389903873
278076029;104485966;266588114384998400
298969339;149401801;266587870658195456
326786624;67039054;266587126483800064
393886714;43910684;266585646297145344
393886714;43910684;266584917260005377
393886714;2748987977;266584637923528704
901901352;903553478;266583713926750208
342136392;7996082;266583053223198720
601808717;74453123;266581736689913856
201444659;79939248;266579490535264257
880826264;19923515;266579311308447744
635617567;386075845;266578259356037120
19614200;15581283;266574212687355904
225914151;1100424245132300288;266573009794506752
47980580;43910684;266567527956611074
335515435;14942445;266567275820244992
334765721;2748987977;266565133663338496
426836464;28076939;266564042380951552
47980580;17618159;266562764187762688
171503473;17618159;266561994189058048
171503473;107377481;266560818915704833
366471680;14436030;266560598588919812
133004391;14942445;266558816974413825
14942445;14942445;266558571842519040
618040477;140550105;266555843909136384
492927406;166507237;266555804306505730
426010895;193770843;266552904549277697
539315855;230512159;266552578249211904
21802571;343588169;266550912615583744
21802571;492121430;266550912615583744
599178964;19923515;266550020143198209
282588011;2748987977;266545561958748160
219331283;31430065;266539761206976512
257541444;2748987977;266539333622853632
47290179;1189937124;266531886531231744
611792620;230512159;266526394828337152
305787526;230512159;266524148732403712
37224377;233937228;266521670871834624
284408280;230512159;266517039961735170
418720284;31090827;266507772659650561
251224510;14436030;266506552968626176
284112897;67039054;266499993186205697
254153702;14436030;266493731350380544
322133992;271826403;266492126303506432
276579796;193208669;266490039414972416
209175040;14436030;266488812610400256
543346876;31090827;266487898008870912
752075616;14436030;266487376644292608
223631382;14436030;266483894835097601
109388195;14436030;266482090730737664
14846487;Unknown-81;266474362801098752
442081290;31090827;266467393977602048
314723391;14436030;266467203094835200
17706418;240823737;266466657533304832
218832250;14436030;266464594460041216
246730058;14436030;266463053141401600
503240852;14436030;266462602249506816
576230421;2748987977;266462310573436928
86172905;14436030;266461975075233792
112668867;14225088;266457132348604416
171503473;222074526;266457081048088577
746791332;343447873;266453071268306944
746791332;2748987977;266453071268306944
376035397;14436030;266450851114139648
231517962;14436030;266447901981548545
226139840;14436030;266435755965022208
26637253;14436030;266435199410249728
181090280;14436030;266432563642527744
590883658;14436030;266432160788004864
406474387;14436030;266430953616986112
627322720;14436030;266426674055364608
457547115;44898619;266425781318729728
289852363;31090827;266425743154749440
539439244;31090827;266422841153556481
539439244;2249007614;266421960978882560
467522958;31090827;266418943810469888
401091325;14436030;266418365944446976
283556855;14436030;266417105526730752
46216541;14436030;266417016460689408
47980580;14436030;266396011029745664
534857422;Unknown-82;266278353701576705
38949045;904402856;266171139473162240
466407338;466407338;266119063267328000
576230421;166507237;266093215743111169
221758681;295607178;265862941218316288
165688067;172671899;265787917660721153
342136392;166507237;265774917189005312
322731904;2748987977;265474276835082241
342136392;44898619;265432664385933312
534857422;12910022;264839396694564864
358280685;534857422;264343756281622528
358280685;395896446;264343756281622528
358280685;534857422;264313686250889216
358280685;534857422;264305829493231616
337825612;230512159;264029438386253824
337825612;358280685;264029438386253824
471519101;823905;264026758125330432
358280685;509061026;263953536897912834
358280685;534857422;263953536897912834
358280685;395896446;263953536897912834
358280685;534857422;263952474816253953
358280685;358280685;263952474816253953
551707081;534857422;263034412122382339
551707081;132227707;263034412122382339
534857422;132227707;262484554294644736
132227707;534857422;262474782954635264
63112656;166507237;261714475500064768
891050154;891050154;261705032704081920
378038034;276637108;261573069443825664
543346876;221758681;261399451497795584
295669573;1078408100514652161;261398678273667072
377956727;18717943;261161594761932800
548790890;239052828;261146236122447873
356036955;257547649;261098744290881536
356036955;30838238;261098744290881536
76695863;267355099;260825060099633152
76695863;230512159;260825060099633152
373466956;267355099;260711111085670401
373466956;230512159;260711111085670401
523386042;18238467;260692257529794560
523386042;303178569;260692257529794560
267355099;230512159;260675342841282560
344056161;823905;260554193323053056
15264641;421727745;260498247141957633
230512159;299920075;260316904235872256
230512159;994185860802326528;260316904235872256
230512159;299897336;260316904235872256
230512159;384761915;260316904235872256
230512159;299416334;260316904235872256
393886714;230512159;260291165214085120
393886714;1186290728357355521;260291165214085120
414760094;823905;260290205918044161
568134640;823905;260276534504460288
423615113;230512159;260250814776504320
423615113;740176980;260250814776504320
539315855;230512159;260214007317803008
112417915;301693041;258999720700174336
112417915;1189937124;258999720700174336
827888701;1189937124;258993039685591040
301693041;1189937124;258993015396376577
395896446;358280685;258976434004058112
177940015;129861742;258867378727829504
